Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error
70,225553;71,68113;123,412909;92,617976;137,887097;177,131879;32,710545;30,556875;96,180319;92,732433
72,504294;72,607892;120,568881;122,61165;136,28267;110,458516;28,064103;28,548834;89,568413;92,621071
65,474107;71,048036;113,990392;124,10367;92,258307;153,275283;35,064606;31,303416;97,089319;100,309892
72,73255;63,588124;94,079625;173,271856;145,636329;103,613186;30,773141;30,231388;78,863373;84,720077
70,486446;79,224045;81,143063;93,92346;141,252831;132,586728;30,017054;30,690409;80,284862;104,479029
73,315675;90,792731;104,013688;126,274245;114,343405;94,584538;32,181333;28,540358;82,57749;82,625443
73,869991;62,114674;115,62868;124,791836;106,736319;143,721041;34,156518;33,341924;81,767054;82,358371
65,979263;91,18706;137,598188;139,513528;107,225558;169,721834;32,976475;35,23466;87,937348;92,559654
78,09066;75,574166;100,282359;94,231238;123,150656;91,1643;28,379991;30,172997;82,548277;86,733891
71,189502;68,771435;113,39998;103,572219;145,548683;189,51252;31,508838;32,652992;76,391911;76,367787
64,576807;95,860682;115,368182;95,774402;106,899178;233,507912;35,530119;27,513174;93,845701;90,650305
73,465721;75,505923;109,312305;97,368857;121,264762;156,398712;27,415432;25,086761;78,843102;80,210963
89,304827;93,075088;97,716153;92,505181;123,321734;115,371458;31,57638;26,671561;85,757442;80,881819
67,74946;86,277217;139,140558;104,501654;124,168001;129,572279;29,899297;29,376128;89,201486;86,230038
74,581494;74,43967;110,033589;134,803317;144,627938;160,620279;32,165123;25,638516;89,74022;90,659348
81,913086;58,727613;83,985683;138,72331;132,208234;149,952989;33,271774;32,046004;72,840105;68,264419
79,859933;65,384032;115,702397;115,677433;134,369722;122,996458;33,225003;28,328115;93,030761;78,287477
75,42666;72,508716;138,179173;124,595401;120,522348;93,719138;29,982487;36,350742;86,090529;85,941777
79,998637;91,461427;69,219424;99,670183;103,510356;99,671206;30,140455;28,444101;81,845367;76,513009
76,135873;76,55922;109,315864;79,392355;165,828762;96,930375;29,453188;29,628068;85,679342;79,017174
63,787321;91,770707;121,571837;126,91162;139,742474;179,039096;28,106469;24,350182;91,600827;89,759009
76,694833;75,070793;104,502862;142,357536;90,121246;99,119898;25,91645;33,277742;78,098323;85,284761
79,168393;70,480398;123,78596;110,958653;109,218601;210,681367;27,195063;23,867034;80,463966;77,506281
