Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error;Training Set Error;Verifying Set Error
0,062009;0,0626;0,029716;0,031455;0,030487;0,027683;0,031435;0,032105;0,033088;0,034454
0,063407;0,065273;0,028202;0,031187;0,028835;0,030364;0,028311;0,030412;0,03302;0,032131
0,059419;0,064856;0,029318;0,028965;0,030837;0,029209;0,031159;0,029945;0,032031;0,031829
0,064163;0,065972;0,030036;0,029474;0,029018;0,02987;0,029314;0,028761;0,033647;0,031387
0,066594;0,062979;0,030078;0,028395;0,030214;0,030031;0,031307;0,031195;0,034664;0,034047
0,063409;0,060021;0,028463;0,027886;0,031285;0,030011;0,031028;0,031708;0,034928;0,033617
0,064073;0,072542;0,02903;0,028092;0,029706;0,029118;0,029341;0,030913;0,032533;0,035253
0,067925;0,067412;0,029681;0,027995;0,03075;0,033167;0,031226;0,031237;0,032167;0,034428
0,064516;0,067132;0,031009;0,032375;0,031259;0,03154;0,029573;0,034178;0,032536;0,0333
0,066066;0,063603;0,028482;0,031053;0,032316;0,030854;0,031313;0,027883;0,030689;0,036347
0,065588;0,060154;0,029133;0,029145;0,029354;0,030894;0,03194;0,029369;0,032572;0,032332
0,064371;0,069592;0,031437;0,031263;0,029947;0,029593;0,030018;0,030944;0,033409;0,035356
0,061021;0,068474;0,029297;0,027513;0,0286;0,030463;0,030772;0,028543;0,033088;0,032161
0,065326;0,07135;0,030976;0,029597;0,03073;0,028805;0,031919;0,029819;0,031468;0,032742
0,066692;0,063709;0,027948;0,032428;0,029698;0,029606;0,030173;0,025775;0,031666;0,032044
0,065135;0,068662;0,029509;0,030458;0,030048;0,029719;0,029857;0,032185;0,033125;0,034932
